"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_author","comment_status","sku","downloadable","virtual","stock","regular_price","sale_price","weight","length","width","height","tax_class","visibility","stock_status","backorders","manage_stock","tax_status","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","warranty_type","warranty_duration","warranty_unit","warranty","warranty_label","images","downloadable_files","tax:pwb-brand","tax:collection","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","attribute:pa_color","attribute_data:pa_color","attribute_default:pa_color","attribute:pa_size","attribute_data:pa_size","attribute_default:pa_size"
"Hahar","hahar11","864","<h1><span style=""color: #999999;""><strong>ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย เหมาะกับอากาศเมืองไทย</strong></span></h1>","<h1><strong>ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย เหมาะกับอากาศเมืองไทย</strong></h1>
&nbsp;","publish","0","2017-07-06 12:08:55","1","open","SL0002","no","no","","1490","","500","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00152-1.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00159.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00164.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00166.jpg","","Hahar","Collections > Casual|Collections|Collections > Office","simple","","Gay|Gay > Shirt","Shirt","","Black","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"Hahar","hahar12","866","<h1><span style=""color: #999999;""><strong>เสื้อเชิ้ตแขนสั้น แตกต่างอย่างลงตัว ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย</strong></span></h1>","<h1><span style=""color: #999999;""><strong>เสื้อเชิ้ตแขนสั้น แตกต่างอย่างลงตัว ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย</strong></span></h1>","publish","0","2017-07-06 12:12:46","1","open","SS0001","no","no","","1290","","500","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00188-1.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00190.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00192.jpg","","Hahar","Collections > Casual|Collections|Collections > Office|Collections > Party","simple","","Gay|Gay > Shirt","Shirt","","Chocolate","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"Hahar","hahar13","868","<h1><span style=""color: #999999;""><strong>ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย เหมาะกับอากาศเมืองไทย</strong></span></h1>","<h1><span style=""color: #999999;""><strong>ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย เหมาะกับอากาศเมืองไทย</strong></span></h1>
&nbsp;","publish","0","2017-07-06 12:16:27","1","open","SL0004","no","no","","1490","","500","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00228-1.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00236.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00233.jpg","","Hahar","Collections > Casual|Collections|Collections > Office|Collections > Party","simple","","Gay > Shirt","Shirt","","White","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"Hahar","hahar14","870","<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>","<h1><strong><span style=""color: #999999;"">ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</span></strong></h1>
&nbsp;","publish","0","2017-07-06 12:24:35","1","open","","no","no","","390","","500","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00245-1.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00246.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00249.jpg","","Hahar","Collections > Casual|Collections|Collections > Party","variable","","Gay|Gay > T-shirt","T-shirt","","Black","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"Hahar","hahar15","872","<h1><span style=""color: #999999;""><strong>เสื้อเชิ้ตแขนสั้น ปกและแขนรัดโปโล แตกต่างอย่างลงตัว ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย</strong></span></h1>","<h1><span style=""color: #999999;""><strong>เสื้อเชิ้ตแขนสั้น ปกและแขนรัดโปโล แตกต่างอย่างลงตัว ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย</strong></span></h1>
&nbsp;","publish","0","2017-07-06 12:27:51","1","open","SPS0002","no","no","","1290","","500","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00275-1.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00276.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00277.jpg","","Hahar","Collections > Casual|Collections|Collections > Office|Collections > Party","simple","","Gay|Gay > Shirt","Shirt","","Blue","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"Hahar","hahar16","874","<h1><span style=""color: #999999;""><strong>ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย เหมาะกับอากาศเมืองไทย</strong></span></h1>","<h1><strong><span style=""color: #999999;"">ผลิตจากผ้า Cotton Twill ผ้านิ่ม ใส่สบาย เหมาะกับอากาศเมืองไทย</span></strong></h1>
&nbsp;","publish","0","2017-07-06 12:30:11","1","open","SL0003","no","no","","1490","","500","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00280-1.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00281.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00284.jpg","","Hahar","Collections > Casual|Collections|Collections > Office","simple","","Gay|Gay > Shirt","Shirt","","Black","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"Hahar","hahar17","879","<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>","<h1><span style=""color: #999999;""><strong>ผ้านิ่ม เนื้อเนียน ระบายอากาศได้ดี สวมใส่สบาย ไม่ขึ้นขุ่ย Cotton 100% No.32</strong></span></h1>
&nbsp;","publish","0","2017-07-06 12:38:57","1","open","TL0003","no","no","","390","","500","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00057-2.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00059.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00062.jpg","","Hahar","Collections > Casual|Collections|Collections > Party","variable","","Gay|Gay > T-shirt","T-shirt","","White","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"AQUANINE - LONDON SOLDIER","aquanine-london-soldier","881","<h2><span style=""color: #999999;""><strong>ผลิตจากผ้าคอตตอนแท้ พรีเมี่ยม เกรดส่งออก สวมใส่สบาย ระบายอากาศดี </strong></span><span style=""color: #999999;""><strong>มีการออกแบบดีไซน์ที่ทันสมัย มีความผสมผสานกันอย่างลงตัว ซึ่งตอบโจทย์ความสมัยใหม่ได้เป็นอย่างดีและเป็นสินค้าที่มีภาพลักษณ์  </strong><strong>ออกแบบมาเฉพาะไม่ซ้ำใคร ทั้งดีไซน์ผ้า ทั้งงานตัดเย็บเนียบ สรีระสวยเนื้อผ้าอย่างดี</strong></span></h2>","[:en]
<h2><span style=""color: #999999;""><strong>ผลิตจากผ้าคอตตอนแท้ พรีเมี่ยม เกรดส่งออก สวมใส่สบาย ระบายอากาศดี </strong></span><span style=""color: #999999;""><strong>มีการออกแบบดีไซน์ที่ทันสมัย มีความผสมผสานกันอย่างลงตัว ซึ่งตอบโจทย์ความสมัยใหม่ได้เป็นอย่างดีและเป็นสินค้าที่มีภาพลักษณ์  </strong><strong>ออกแบบมาเฉพาะไม่ซ้ำใคร ทั้งดีไซน์ผ้า ทั้งงานตัดเย็บเนียบ สรีระสวยเนื้อผ้าอย่างดี</strong></span></h2>
[:th]
<h2><strong><span style=""color: #999999;"">ผลิตจากผ้าคอตตอนแท้ พรีเมี่ยม เกรดส่งออก สวมใส่สบาย ระบายอากาศดี </span></strong><strong><span style=""color: #999999;"">มีการออกแบบดีไซน์ที่ทันสมัย มีความผสมผสานกันอย่างลงตัว ซึ่งตอบโจทย์ความสมัยใหม่ได้เป็นอย่างดีและเป็นสินค้าที่มีภาพลักษณ์  </span></strong><strong><span style=""color: #999999;"">ออกแบบมาเฉพาะไม่ซ้ำใคร ทั้งดีไซน์ผ้า ทั้งงานตัดเย็บเนียบ สรีระสวยเนื้อผ้าอย่างดี</span></strong></h2>
[:]","publish","0","2017-07-06 12:44:00","1","open","LOSO-NA","no","no","","500","","500","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00140-1.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00146.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00149.jpg","","AQUANINE","Collections > Casual|Collections|Collections > Party","variable","","Gay|Gay > T-shirt","T-shirt","","Navy Blue","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"AQUANINE - LONDON SOLDIER","aquanine-london-soldier-2","883","<h2><span style=""color: #999999;""><strong>ผลิตจากผ้าคอตตอนแท้ พรีเมี่ยม เกรดส่งออก สวมใส่สบาย ระบายอากาศดี </strong></span><span style=""color: #999999;""><strong>มีการออกแบบดีไซน์ที่ทันสมัย มีความผสมผสานกันอย่างลงตัว ซึ่งตอบโจทย์ความสมัยใหม่ได้เป็นอย่างดีและเป็นสินค้าที่มีภาพลักษณ์ ออกแบบมาเฉพาะไม่ซ้ำใคร ทั้งดีไซน์ผ้า ทั้งงานตัดเย็บเนียบ สรีระสวยเนื้อผ้าอย่างดี</strong></span></h2>","[:en]
<h2><strong><span style=""color: #999999;"">ผลิตจากผ้าคอตตอนแท้ พรีเมี่ยม เกรดส่งออก สวมใส่สบาย ระบายอากาศดี  </span></strong><strong><span style=""color: #999999;"">มีการออกแบบดีไซน์ที่ทันสมัย มีความผสมผสานกันอย่างลงตัว ซึ่งตอบโจทย์ความสมัยใหม่ได้เป็นอย่างดีและเป็นสินค้าที่มีภาพลักษณ์ ออกแบบมาเฉพาะไม่ซ้ำใคร ทั้งดีไซน์ผ้า ทั้งงานตัดเย็บเนียบ สรีระสวยเนื้อผ้าอย่างดี</span></strong></h2>
[:th]
<h2><span style=""color: #999999;""><strong>ผลิตจากผ้าคอตตอนแท้ พรีเมี่ยม เกรดส่งออก สวมใส่สบาย ระบายอากาศดี  </strong></span><span style=""color: #999999;""><strong>มีการออกแบบดีไซน์ที่ทันสมัย มีความผสมผสานกันอย่างลงตัว ซึ่งตอบโจทย์ความสมัยใหม่ได้เป็นอย่างดีและเป็นสินค้าที่มีภาพลักษณ์ ออกแบบมาเฉพาะไม่ซ้ำใคร ทั้งดีไซน์ผ้า ทั้งงานตัดเย็บเนียบ สรีระสวยเนื้อผ้าอย่างดี</strong></span></h2>
[:]","publish","0","2017-07-06 12:47:35","1","open","USA_R","no","no","","500","","500","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00200-1.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00211.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00210.jpg","","AQUANINE","Collections > Casual|Collections|Collections > Party","variable","","Gay|Gay > T-shirt","T-shirt","","Red","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
"AQUANINE - LONDON SOLDIER","aquanine-london-soldier-3","887","<h2><span style=""color: #999999;""><strong>ผลิตจากผ้าคอตตอนแท้ พรีเมี่ยม เกรดส่งออก สวมใส่สบาย ระบายอากาศดี มีการออกแบบดีไซน์ที่ทันสมัย มีความผสมผสานกันอย่างลงตัว ซึ่งตอบโจทย์ความสมัยใหม่ได้เป็นอย่างดีและเป็นสินค้าที่มีภาพลักษณ์ ออกแบบมาเฉพาะไม่ซ้ำใคร ทั้งดีไซน์ผ้า ทั้งงานตัดเย็บเนียบ สรีระสวยเนื้อผ้าอย่างดี</strong></span></h2>","[:en]
<h2><strong><span style=""color: #999999;"">ผลิตจากผ้าคอตตอนแท้ พรีเมี่ยม เกรดส่งออก สวมใส่สบาย ระบายอากาศดี มีการออกแบบดีไซน์ที่ทันสมัย มีความผสมผสานกันอย่างลงตัว ซึ่งตอบโจทย์ความสมัยใหม่ได้เป็นอย่างดีและเป็นสินค้าที่มีภาพลักษณ์ ออกแบบมาเฉพาะไม่ซ้ำใคร ทั้งดีไซน์ผ้า ทั้งงานตัดเย็บเนียบ สรีระสวยเนื้อผ้าอย่างดี</span></strong></h2>
[:th]
<h2><span style=""color: #999999;""><strong>ผลิตจากผ้าคอตตอนแท้ พรีเมี่ยม เกรดส่งออก สวมใส่สบาย ระบายอากาศดี มีการออกแบบดีไซน์ที่ทันสมัย มีความผสมผสานกันอย่างลงตัว ซึ่งตอบโจทย์ความสมัยใหม่ได้เป็นอย่างดีและเป็นสินค้าที่มีภาพลักษณ์ ออกแบบมาเฉพาะไม่ซ้ำใคร ทั้งดีไซน์ผ้า ทั้งงานตัดเย็บเนียบ สรีระสวยเนื้อผ้าอย่างดี</strong></span></h2>
[:]","publish","0","2017-07-06 12:54:21","1","open","PAR-NA","no","no","","500","","500","","","","","","instock","no","no","taxable","","","","","","-1","-1","","","no_warranty","0","day","","","http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00286-1.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00291.jpg | http://indigoenglish.org/lagobe/wp-content/uploads/2017/07/lagobe00290.jpg","","AQUANINE","Collections > Casual|Collections|Collections > Party","variable","","Gay|Gay > T-shirt","T-shirt","","Navy Blue","0|1|1","","Large|Medium|Small|X-Large","1|1|1",""
